Round,Deadwood
1,34
2,34
3,34
4,34
5,31
6,25
7,22
8,19
9,12
10,12
11,12
12,12
1,76
2,68
3,64
4,64
5,32
6,16
7,15
8,13
9,9
1,70
2,40
3,40
4,39
5,31
6,26
7,26
8,20
9,20
1,50
2,49
3,46
4,32
5,10
1,67
2,63
3,63
4,40
5,40
1,44
2,31
3,31
4,28
5,5
1,22
2,14
3,10
1,49
2,42
3,41
4,41
5,41
6,41
7,17
8,17
9,17
10,10
1,70
2,40
3,12
4,8
1,45
2,44
3,44
4,25
5,21
6,7
1,48
2,40
3,40
4,16
5,9
1,45
2,36
3,36
4,12
5,12
1,63
2,33
3,33
4,28
5,25
6,19
7,13
8,13
9,13
10,13
11,13
1,51
2,46
3,46
4,41
5,40
6,40
7,31
8,31
9,30
10,30
1,51
2,49
3,49
4,49
1,42
2,42
3,42
4,14
5,14
6,13
7,13
8,12
9,12
1,48
2,44
3,36
4,27
5,8
1,46
2,39
3,39
4,15
5,15
6,9
1,75
2,45
3,45
4,42
5,33
6,16
7,15
8,12
9,10
1,38
2,20
3,12
4,9
1,63
2,63
3,60
4,60
5,30
6,25
7,15
8,15
9,15
1,69
2,61
3,35
4,35
5,25
6,25
7,25
1,62
2,42
3,40
4,35
5,11
6,11
7,13
8,13
1,39
2,31
3,28
4,28
5,26
6,14
7,14
1,64
2,64
3,38
4,33
5,33
6,33
7,33
8,32
9,29
10,29
1,34
2,34
3,33
4,30
5,26
6,26
7,26
8,20
9,20
10,6
1,52
2,45
3,17
4,11
5,3
1,37
2,28
3,28
4,21
5,21
6,21
7,21
1,67
2,66
3,66
4,38
5,39
6,30
7,30
1,36
2,14
3,10
1,38
2,38
1,16
2,16
3,16
4,16
5,16
6,15
7,10
1,55
2,54
3,54
4,48
5,44
6,44
7,41
8,18
9,17
10,17
11,17
1,35
2,35
3,15
4,15
5,4
1,48
2,44
3,44
4,44
1,56
2,48
3,39
4,39
5,39
6,39
7,39
8,24
9,24
10,17
11,17
12,17
1,21
2,13
3,13
4,13
5,8
1,52
2,24
3,24
1,43
2,38
3,34
4,34
5,33
6,33
1,44
2,40
3,32
4,29
5,24
6,24
1,51
2,51
3,45
4,39
5,22
6,22
7,7
1,59
2,57
3,50
4,50
5,44
6,43
7,43
1,30
2,21
3,20
4,5
1,38
2,18
3,18
4,13
5,13
6,12
7,12
1,43
2,34
3,28
4,24
5,24
6,8
1,54
2,46
3,23
4,23
5,23
6,18
7,18
8,6
1,16
2,16
3,16
4,16
5,5
1,24
2,19
3,15
4,15
5,15
6,10
1,37
2,37
3,30
4,29
5,27
6,11
7,10
1,37
2,37
3,31
4,21
5,18
6,4
1,50
2,47
3,47
4,47
5,15
6,14
7,14
8,14
9,14
10,7
1,73
2,43
3,38
4,38
5,30
6,30
7,24
8,8
1,17
2,17
3,17
4,17
5,11
6,8
1,34
2,34
3,10
1,37
2,28
3,28
4,27
5,27
6,9
1,20
2,10
1,55
2,51
3,26
4,25
5,5
1,45
2,17
3,17
4,12
5,12
6,7
1,51
2,21
3,14
4,8
1,48
2,44
3,44
4,35
5,29
6,29
7,24
8,24
9,24
1,17
2,9
1,77
2,77
1,18
2,18
3,18
4,4
1,40
2,40
3,16
4,1
1,35
2,35
3,19
4,16
5,16
6,9
1,58
2,57
3,31
4,13
5,13
1,39
2,30
3,30
4,30
5,30
6,27
7,8
1,37
2,19
3,1
1,71
2,66
3,65
4,65
5,45
6,19
7,16
8,16
1,40
2,38
3,30
4,30
5,28
6,22
7,16
8,16
1,44
2,36
3,27
4,27
1,20
2,20
3,20
4,14
5,14
6,14
1,34
2,34
3,29
4,24
5,23
6,23
1,55
2,26
3,26
4,20
5,7
1,42
2,40
3,32
4,32
5,28
6,28
1,49
2,41
3,41
4,41
5,41
1,18
2,15
3,15
4,15
5,11
6,3
1,55
2,53
3,23
4,23
5,23
6,17
7,11
8,12
9,12
10,12
11,12
12,12
1,27
2,20
3,13
4,13
5,13
6,10
1,66
2,36
3,21
4,12
5,12
6,12
7,6
1,48
2,48
3,42
4,34
5,15
6,15
7,4
1,47
2,46
3,46
4,46
5,27
6,26
7,26
1,58
2,58
1,47
2,39
3,31
4,24
5,6
1,33
2,11
3,11
4,11
5,11
6,6
1,58
2,53
3,43
4,26
5,26
1,12
2,5
1,24
2,23
3,23
4,14
5,9
1,25
2,23
3,15
4,15
5,15
6,10
1,63
2,63
3,63
4,41
5,31
6,18
7,18
1,38
2,34
3,24
4,24
5,20
6,17
7,16
8,16
1,37
2,37
3,31
4,23
5,23
6,17
7,6
1,25
2,19
3,10
1,65
2,40
3,30
4,25
5,11
6,10
1,43
2,35
3,35
4,35
5,19
6,12
7,11
8,11
9,11
10,11
11,11
12,11
1,29
2,28
3,27
4,27
1,33
2,29
3,29
4,15
5,15
6,13
7,13
8,12
9,12
1,38
2,35
3,30
4,11
5,11
6,8
1,63
2,54
3,41
4,41
5,37
6,36
7,36
1,41
2,38
3,30
4,26
5,26
6,26
7,13
8,13
9,9
1,46
2,38
3,29
4,26
5,15
6,8
1,58
2,58
3,58
4,49
5,36
6,36
7,35
8,35
1,43
2,36
3,36
4,26
5,17
6,17
1,46
2,46
3,43
4,36
5,37
6,37
7,36
8,16
9,16
10,13
11,9
1,38
2,23
3,23
4,21
5,21
6,21
7,21
8,3
1,65
2,35
3,35
4,10
1,44
2,44
3,40
4,32
5,32
6,29
7,24
8,24
9,24
10,24
11,8
1,44
2,40
3,37
4,30
5,27
6,25
7,25
8,20
9,11
10,11
11,8
1,62
2,55
3,55
4,55
5,51
6,50
7,48
8,25
9,25
1,34
2,33
3,33
4,33
5,33
6,18
7,18
8,17
9,17
10,14
11,14
1,48
2,48
3,48
4,43
5,43
6,42
7,16
8,16
9,16
1,38
2,34
3,31
4,12
5,2
1,38
2,33
3,33
4,33
5,28
6,27
7,27
8,27
9,20
10,20
1,36
2,19
3,19
1,51
2,51
3,50
4,23
